UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"0";"2";7.47030474900;52.29405517800;"1";Steinfurt
"3";"6";"2";6.99745269500;51.90160302900;"1";Borken
"3";"0";"2";6.76247235800;51.43511950800;"1";Duisburg
"2";"5";"0";7.48756124200;51.52403850100;"0";Dortmund
"2";"5";"0";7.61873707500;52.10039996000;"1";Steinfurt
"2";"5";"2";6.65656932900;51.45268422600;"1";Wesel
"2";"1";"2";6.58836538900;51.21771211400;"1";Rhein-Kreis Neuss
"3";"5";"0";6.74345638200;51.31883846000;"1";Düsseldorf
"3";"5";"1";6.97422088500;50.97511771000;"1";Köln
"3";"5";"2";6.32854833400;51.25262985900;"1";Viersen
"3";"5";"1";7.15412993900;51.25819754600;"1";Wuppertal
"3";"0";"1";6.69395032600;51.41086908800;"1";Duisburg
"2";"5";"2";8.77941479700;52.20325785900;"1";Herford
"3";"0";"1";7.48319195500;51.66431458300;"1";Unna
"3";"0";"0";8.57876688300;51.35596506000;"1";Hochsauerlandkreis
"3";"0";"0";7.79655929300;51.65730633200;"1";Hamm
"3";"5";"0";7.23193351600;51.53491018600;"1";Herne
"3";"5";"0";7.71074407300;52.27471996500;"1";Steinfurt
"3";"1";"0";7.55039117100;52.12912292400;"0";Steinfurt
"3";"4";"2";7.64682070200;51.96417841300;"1";Münster
"2";"5";"0";7.08256301000;51.65892510800;"1";Recklinghausen
"3";"6";"0";7.00395929300;50.96192968300;"0";Köln
"3";"5";"0";6.99952246100;51.49314104100;"1";Essen
"2";"0";"2";7.02447524500;51.43713982200;"1";Essen
"3";"0";"0";6.79012995700;51.42594841600;"0";Duisburg
"3";"5";"0";6.78063028300;51.25305794100;"0";Düsseldorf
"3";"5";"0";8.77943982200;51.72848390500;"1";Paderborn
"3";"4";"0";6.84500648900;51.84557736800;"0";Borken
"3";"3";"2";7.61986325900;51.95501449000;"0";Münster
"3";"5";"2";8.93622284800;52.29774142800;"1";Minden-Lübbecke
"3";"4";"2";8.38164734900;51.89394818900;"1";Gütersloh
"3";"0";"0";8.44437032400;51.89869344100;"1";Gütersloh
"3";"5";"0";8.79752143100;51.99315015100;"0";Lippe
