UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"5";"2";7.89534868800;52.21412480400;"1";Steinfurt
"3";"5";"0";7.64092555900;51.66329344100;"1";Unna
"3";"1";"1";6.30196436400;50.60566976000;"1";Städteregion Aachen
"3";"5";"1";7.71685789800;52.27992503900;"1";Steinfurt
"3";"0";"1";7.27154386200;50.77244101500;"0";Rhein-Sieg-Kreis
"3";"5";"0";6.96805754500;52.09457065700;"1";Borken
"3";"5";"0";7.12034132200;51.03849609200;"1";Rheinisch-Bergischer Kreis
"3";"5";"0";6.17175545400;51.66517295800;"1";Kleve
"2";"4";"2";6.10385178100;50.86240606000;"1";Städteregion Aachen
"3";"5";"2";7.54900212200;52.16026261700;"1";Steinfurt
"3";"5";"2";6.92144847600;50.95506454700;"0";Köln
"3";"5";"0";6.97619770100;52.09277349200;"1";Borken
"3";"1";"1";6.92176927500;50.94771690300;"1";Köln
"3";"5";"2";6.92754732600;50.89584889400;"1";Köln
"3";"5";"1";6.80361519700;51.40008080500;"1";Duisburg
"2";"5";"0";7.89830460900;51.76002020600;"1";Warendorf
"3";"6";"2";6.93937802200;50.92705755700;"1";Köln
"3";"5";"1";6.30904356300;51.07727584200;"0";Heinsberg
"3";"5";"0";7.67415384600;51.56978420800;"1";Unna
"3";"3";"0";7.19494994300;50.78335443800;"0";Rhein-Sieg-Kreis
"3";"5";"0";8.61643345400;51.90142462600;"0";Gütersloh
"3";"5";"2";6.59537821800;51.41279960300;"1";Wesel
"1";"0";"0";6.65545961500;51.88907991000;"1";Borken
"3";"5";"0";7.62917448700;51.92629732800;"0";Münster
"3";"5";"1";7.58745318700;51.93735871600;"1";Münster
"2";"2";"2";6.13135004100;50.94293621700;"1";Heinsberg
"3";"5";"0";6.79381024800;51.27558216000;"0";Düsseldorf
"3";"5";"1";7.82917038300;51.67356407500;"1";Hamm
"3";"5";"0";6.91387172200;51.44908240500;"0";Mülheim an der Ruhr
"3";"5";"0";6.83507329700;51.50163209400;"1";Oberhausen
"3";"5";"0";7.22606869300;51.47362269500;"0";Bochum
"3";"3";"1";6.95435341400;50.96166961500;"0";Köln
"3";"5";"0";7.02181373300;52.08721765400;"0";Borken
"3";"4";"2";7.43179845600;51.76734268300;"0";Coesfeld
"3";"5";"2";6.94744358600;50.98403172800;"1";Köln
"2";"0";"1";6.93620397300;50.94189036100;"0";Köln
"3";"5";"2";7.62269912800;51.89781113700;"0";Münster
"3";"5";"0";6.64240807400;51.45001622500;"0";Wesel
"3";"5";"2";6.27535575900;50.98310376400;"0";Düren
"3";"5";"0";7.47907206900;51.52434322100;"1";Dortmund
"3";"5";"0";7.01400492900;50.73792050700;"0";Rhein-Sieg-Kreis
"3";"5";"2";6.90567454300;50.87969871500;"0";Rhein-Erft-Kreis
"2";"4";"2";8.10974652000;51.82342605900;"1";Warendorf
"3";"5";"1";6.39994010300;51.17561581100;"0";Mönchengladbach
"2";"5";"0";7.47854981800;51.85662986100;"1";Coesfeld
"2";"5";"0";7.16794683100;50.74498800800;"0";Bonn
"3";"5";"2";6.64069626600;51.45002504100;"1";Wesel
"3";"5";"0";7.39537663900;52.11838760300;"1";Steinfurt
"3";"0";"0";7.06183496200;50.75965189200;"0";Bonn
"3";"5";"2";6.47823964600;51.21954232400;"1";Mönchengladbach
"3";"0";"2";8.43502530600;52.01023759100;"1";Gütersloh
"3";"5";"0";7.01819569600;51.21059886100;"0";Mettmann
"3";"0";"0";6.77842955900;51.41995498300;"1";Duisburg
"3";"5";"0";6.99047725800;51.02793050400;"0";Leverkusen
"3";"5";"2";6.95574232700;50.95712464900;"0";Köln
"3";"0";"2";6.91063451700;50.93973574000;"0";Köln
"3";"0";"0";7.00402025400;51.94859187500;"1";Borken
"3";"5";"2";6.97345059400;50.90506625300;"0";Köln
"3";"5";"0";7.33719698900;51.64447659300;"0";Recklinghausen
"3";"5";"0";6.94968297400;51.52116299000;"1";Bottrop
